Date,temparature_C,Humidity,NLDC Demand
01.01.2018,19.71434783,82.38608696,190.2608696
02.01.2018,18.73083333,83.22541667,178.875
03.01.2018,17.39625,85.49541667,181.5833333
04.01.2018,16.47625,82.72208333,183.2916667
05.01.2018,16.53208333,81.93041667,174
06.01.2018,15.1725,82.85458333,179.75
07.01.2018,13.45458333,73.16666667,182.0833333
08.01.2018,13.16833333,73.75041667,186
09.01.2018,14.14458333,74.225,185.4166667
10.01.2018,14.45,78.78125,182.8333333
11.01.2018,14.80541667,82.27416667,189.5
12.01.2018,15.73125,81.8225,185.1666667
13.01.2018,15.32666667,84.185,189.25
14.01.2018,16.41833333,81.65916667,191.6666667
15.01.2018,16.13375,85.55416667,189.5416667
16.01.2018,17.16083333,83.79625,193.9583333
17.01.2018,17.43416667,84.74666667,193.2916667
18.01.2018,18.42458333,80.47375,193.7083333
19.01.2018,18.145,82.54458333,187.9583333
20.01.2018,17.35625,82.20375,187.4166667
21.01.2018,17.83708333,81.04875,196.4166667
22.01.2018,18.21791667,82.15583333,197.375
23.01.2018,17.9025,82.02041667,190.5833333
24.01.2018,17.235,86.04583333,195.3333333
25.01.2018,17.65291667,75.35666667,196.8333333
26.01.2018,16.27458333,72.17708333,174.125
27.01.2018,14.93333333,69.58791667,191.5
28.01.2018,13.75166667,70.66583333,193.0833333
29.01.2018,14.14333333,68.09208333,192.6666667
30.01.2018,14.40958333,69.11875,194.375
31.01.2018,15.225,73.97,198.3333333
01.02.2018,16.70916667,75.98666667,200.2916667
02.02.2018,18.25375,79.9875,189.7083333
03.02.2018,17.96666667,83.46625,196.5833333
04.02.2018,18.29,84.58,205.0416667
05.02.2018,19.025,83.83375,202.0416667
06.02.2018,19.17625,83.48166667,192.875
07.02.2018,18.94041667,76.48083333,197.9166667
08.02.2018,18.56375,77.4675,199.9166667
09.02.2018,18.5075,72.32916667,192.125
10.02.2018,19.35708333,71.63416667,201.25
11.02.2018,18.54208333,64.99416667,199.5416667
12.02.2018,19.82291667,67.39791667,205.125
13.02.2018,20.58791667,68.0325,205.125
14.02.2018,19.69833333,74.60708333,208.8333333
15.02.2018,19.41125,74.075,220
16.02.2018,19.85125,74.36666667,177.5416667
17.02.2018,18.94458333,70.84625,205.4583333
18.02.2018,19.45583333,67.23375,202.5416667
19.02.2018,20.52958333,63.98458333,201.25
20.02.2018,20.3725,70.835,200.3333333
21.02.2018,20.78708333,69.47416667,198.5416667
